Ticker,Total Return,Total Return (EPS),Total Return (SPS),Total Return (FCFPS),Total Return (Composite)
A,8.44,18.81,52.28,43.86,38.32
AA,9.81,-427.88,-13.26,110.19,-110.32
AADI,-24.4,69.13,32.45,28.34,43.31
AAL,3.66,179.71,136.53,65.37,127.20
AAOI,-42.5,85.99,-47.44,110.49,49.68
AAON,-9.64,124.35,-13.98,-15.58,31.60
AAP,4.45,64.72,17.29,31.44,37.82
AAPL,3.45,194.23,116.42,-212.26,32.80
AAT,-6.69,32.4,29.65,98.15,53.40
AB,25.34,-133.33,-17.01,584.31,144.66
ABBNY,-8.26,1.67,1.67,1.67,1.67
ABBV,17.66,3.75,-21.68,128.02,36.70
ABCB,2.92,28.89,-5.97,79.81,34.24
ABCL,209.28,140.03,-210.99,106.96,12.00
ABEO,186.42,-142.55,117.84,61.03,12.11
ABEV,29.4,64.57,68.46,-12.03,40.33
ABG,-4.84,30.2,5.77,71.14,35.70
ABL,72.96,-280.37,-65.64,460.04,38.01
ABM,0.23,10.08,4.66,92.45,35.73
ABNB,1.85,-270.17,16.68,104,-49.83
ABOS,382.46,35.34,60.21,382.46,159.34
ABR,11.71,57.48,20.65,93.57,57.23
ABSI,134.11,58.24,79.1,-40.92,32.14
ABT,13.69,27.81,-83.71,155.75,33.28
ABUS,105.98,60.36,10.31,77.1,49.26
ABVX,406.02,406.02,406.02,406.02,406.02
ACA,1.28,-5.31,-24.05,118.6,29.75
ACAD,59.51,93.28,-19.23,62.14,45.40
ACCD,103.08,-121.44,117.88,50.91,15.78
ACCO,100.65,82,12.73,98.66,64.46
ACDC,-20.45,-20.45,-20.45,-20.45,-20.45
ACDVF,6.95,6.95,6.95,6.95,6.95
ACEL,27.77,-63.43,30.12,114.6,27.10
ACGL,21.57,26.92,-12.61,81.31,31.87
ACHC,52.66,-10.35,36.41,100.31,42.12
ACHL,273.83,273.83,273.83,273.83,273.83
ACHR,62.96,62.96,62.96,62.96,62.96
ACHV,207.02,19.89,55.28,76.5,50.56
ACI,26.57,42.37,-17.88,79.67,34.72
ACIC,20.57,43.87,5.64,92.82,47.44
ACIU,134.98,62.25,44.02,102.36,69.54
ACIW,16.77,-6.52,21.53,86.42,33.81
ACLS,54.2,97.53,-202.25,143.47,12.92
ACLX,29.72,25.63,-74.51,83.2,11.44
ACM,8.08,48.02,62.4,7.97,39.46
ACMR,100.62,100.63,-33.79,22.78,29.87
ACN,9.85,49.15,85.05,-29.16,35.01
ACNB,20.53,66.97,17.68,36.82,40.49
ACR,10.17,28.76,174.4,91.4,98.19
ACRE,13.69,44.19,17.31,92.28,51.26
ACRS,82.05,465.55,-386.49,-36.31,14.25
ACRV,195.3,195.3,195.3,195.3,195.30
ACT,12.39,63.49,193.01,-147.97,36.18
ACTG,56.6,-452.01,67.8,99.96,-94.75
ACU,34.51,50.12,-14.32,58.04,31.28
ACVA,13.89,-47.07,-569.09,154.77,-153.80
ADAG,110.3,-778.61,1214.82,-589.72,-51.17
ADAP,186.37,79.86,33.58,21.41,44.95
ADBE,23,91.46,5.3,3.61,33.46
ADC,11.36,5.7,55.14,74.13,44.99
ADCT,286.47,83.45,69.36,-270.42,-39.20
ADEA,22.08,57.57,-11.11,93.06,46.51
ADI,14.5,-43.89,79.45,68.29,34.62
ADM,13.75,34.23,50.05,75.64,53.31
ADMA,25.5,104.07,-72.66,75.43,35.61
ADNT,20.6,-1519.57,84.79,104.87,-443.30
ADP,-0.15,135.92,16.22,-48.03,34.70
ADPT,11.11,140.14,-82.59,0.91,19.49
ADRNY,7.93,3.52,3.52,3.52,3.52
ADSE,1.97,45.41,-17.16,138.23,55.49
ADSK,8.71,18.36,15.15,75.64,36.38
ADT,22.56,-43.56,-21.65,128.91,21.23
ADTN,22.37,59.25,47.63,91.79,66.22
ADUS,14.98,71.17,17.51,17.39,35.36
ADV,23.63,-154.03,89.86,37.96,-8.74
ADVM,405.53,80.77,34.1,6.43,40.43
ADXN,276.41,-31.2,3.4,120.12,30.77
ADYEY,23.57,23.57,23.57,23.57,23.57
AE,4.53,41.4,39.1,81.93,54.14
AEE,-0.16,104.14,8.77,-0.83,37.36
AEG,11.65,5.57,5.57,5.57,5.57
AEHR,104.58,83.05,-329.49,111.45,-45.00
AEIS,1.99,9.39,19.37,78.61,35.79
AEM,18.22,36.33,-497.9,105.13,-118.81
