Ticker,31-Jan-22,30-Apr-22,31-Jul-22,31-Oct-22,31-Jan-23,30-Apr-23,31-Jul-23,31-Oct-23,31-Jan-24,30-Apr-24,31-Jul-24,31-Jan-25,30-Apr-25,31-Jul-25,31-Oct-25
MAR,28.85,10.944,28.4623,28.4623,28.4623,28.4623,26.775,29.608,32.742,11.019,38.088,58.221,28.657,19.719,16.266
SUN,21.086,9.69,6.161,9.962,1.121,9.37,24.107,34.56,18.718,17.713,1.022,25.533,-5.19,-2.379,6.385
NOV,21.841,22.876,47.304,36.58,-8.66,9.515,-9.175,-26.655,-6.661,6.908,-19.796,-0.762,-11.453,-1.254,8.433
A,10.943,-7.026,-26.515,-0.878,4.928,-5.597,-6.096,-7.935,4.7,9.118,18.047,20.66,21.049,18.986,16.622
AA,56.305,18.872,-10.85,-34.57,-45.824,-27.543,-43.226,-41.701,1.778,-13.093,70.523,65.71,48.331,37.62,29.581
AACG,-64.176,-32.841,-20.455,36.232,82.888,-31.319,-50.286,-45.745,-28.325,-48.08,20.69,-15.212,35.607,24.115,10.719
AADI,-49.197,-54.191,-38.146,-63.468,-44.032,-60.807,-65.324,-69.663,-74.2,-75.184,-54.409,-119.815,-40.382,-36.197,-33.073
AAGR,-21.1629,-0.1,0.816,4.069,4.167,6.332,-21.1629,-96.491,-21.1629,-21.1629,-21.1629,-74.295,62.547,-18.925,-99.749
AAL,0.747,-33.459,-32.328,-10.729,-36.301,23.864,-14.933,-4.949,-2.011,-39.22,11.616,11.554,-0.448,-2.663,-4.675
AAMCF,-37.355,28.946,-27.14,406.779,656.158,68.672,-70.722,-92.227,-394.544,-85.765,73.5271,-1792.68,-930.537,315.24,762.549
AAN,-39.9,-48.556,-66.584,-28.819,-50.219,2.065,9.753,-46.181,15.489,-36.979,2013.8877,148.785,1056.669,4119.152,15156.256
AAOI,-63.85,-74.416,-71.875,-36.207,-28.352,234.518,301.646,446.332,152.502,10.622,83.402,-161.508,-787.947,-616.608,-980.377
AAON,-25.134,-2.292,-11.372,39.157,100.879,68.541,32.014,59.957,66.09,25.2,106.448,104.382,36.273,52.146,-9.053
AAP,32.737,-5.801,-13.413,-68.589,-29.4213,-63.341,-61.403,-113.225,23.886,1.347,-26.411,406.349,211.664,188.731,2285.18
AAPL,18.108,12.091,3.965,-9.294,15.0625,10.098,25.413,20.291,22.957,20.809,26.187,34.942,37.248,33.643,31.167
AAT,-6.4582,-1.2415,-1.2415,-1.2415,-50.273,-25.901,-35.459,-18.54,2.401,14.866,50.423,29.016,7.261,13.791,-23.151
AAUAF,-42.913,-42.067,-42.169,-36.246,-58.966,-44.813,-43.333,-28.934,-31.814,-38.1431,-31.6223,-10.176,-9.875,-9.173,-12.166
AB,-6.395,-8.551,-33.292,-19.862,-14.343,-25.306,-23.356,-15.668,1.135,6.259,34.361,30.518,28.904,21.585,7.343
ABBV,32.035,20.329,24.672,5.055,-3.141,8.213,-2.808,16.152,22.57,24.732,41.976,47.158,34.653,29.169,15.933
ABCB,-24.798,-5.403,-5.558,-3.293,-31.017,-5.648,-23.213,-5.598,35.824,27.175,73.989,148.241,25.339,47.303,15.25
ABCL,-79.087,-37.898,-13.437,-0.448,-0.452,-37.264,-63.807,-40.27,-53.02,-59.11,-34.763,-82.905,-30.868,-31.236,-29.593
ABEO,-88.094,-85.438,-81.77,-64.317,-26.63,-36.052,8.434,148.755,47.667,66.107,32.222,66.534,-3.677,-8.435,3.787
ABG,-1.959,-11.639,-24.842,21.612,-3.617,27.931,18.881,-10.316,19.136,6.332,24.909,47.08,32.724,31.665,30.029
ABL,2.357,3.173,2.224,4.509,-0.601,-37.698,14.342,16.779,7.755,64.968,-23.789,11.929,2.493,5.063,4.433
ABM,-7.767,-10.424,0.218,11.861,1.517,10.741,-15.87,0.131,6.318,0.519,32.532,9.857,9.123,5.522,3.299
ABNB,-15.46,-24.705,-54.36,-15.146,6.451,22.483,29.83,15.889,21.486,-7.389,23.353,44.748,11.896,11.493,11.304
ABOS,-17.9246,-64.617,-48.186,-9.657,77.399,29.39,-66.938,-10.926,-18.263,-60.429,31.773,-32.448,-13.561,-13.982,-8.665
ABR,3.3654,2.8139,2.8139,2.8139,-32.277,6.017,-12.923,-13.707,0.312,-22.928,17.778,27.638,25.921,32.308,33.153
ABT,5.1185,6.0015,6.0015,6.0015,-1.396,-1.013,-4.33,6.811,5.691,-1.488,19.324,14.844,13.267,8.305,6.014
ABUS,-13.851,-16.447,-37.113,-4.746,0,-18.898,-24.18,-4.982,35.782,74.757,111.892,76.1,88.021,72.375,72.471
ABVC,-69.4826,-76.701,-78.919,-69.974,-63.208,-70.383,-83.344,-69.4826,-69.4826,-69.4826,-69.4826,-93.077,-62.807,-52.041,-44.372
AC,7.577,17.85,5.007,-9.951,-5.444,-13.492,-18.098,-9.353,-13.246,-8.276,-6.2505,-17.009,-10.039,-6.194,-4.36
ACA,-11.212,14.605,20.574,27.788,26.172,32.343,3.298,29.248,30.423,1.449,43.752,72.449,30.816,23.069,20.88
ACAB,0.2164,1.7241,1.7241,4.322,4.44,5.095,5.76,3.372,9.203,5.513,0.2164,26.273,-17.145,-29.592,11.196
ACAD,-10.119,-15.74,-31.293,-17.471,14.445,67.694,62.416,14.766,5.87,-44.228,-121.4289,-71.297,-151.57,-426.39,-661.665
ACBA,0.688,3.783,4.464,7.101,8.594,9.45,10.541,10.958,10.533,7.7295,9.0678,11.183,11.702,11.898,12.195
ACCO,-16.629,-27.069,-36.353,-37.326,-31.132,-11.35,-6.654,3.525,-5.068,-19.55,4.158,-0.54,5.257,8.838,-5.724
ACEL,-4.6864,0.0349,-27.679,-28.233,-30.85,-2.45,10.235,12.473,12.444,-0.628,9.768,45.269,8.445,6.409,5.414
ACET,-19.348,132.539,109.793,-40.555,-36.689,-87.334,-93.102,-9.0608,-47.27,-9.0608,-2.256,-6.386,-3.523,-1.916,-8.916
ACGL,18.959,8.777,34.021,45.499,54.132,77.839,49.779,26.196,44.716,24.922,17.869,71.692,28.707,30.523,33.075
ACHC,18.533,28.387,25.726,19.575,0.845,-2.767,-7.325,15.06,4.488,-6.711,-27.907,56.576,112.676,100.303,61.984
ACHL,-84.964,-60.317,-72.961,-65.147,-53.835,-66.833,-55.307,-15.607,-5.765,-23.518,33.75,92.925,158.939,241.725,356.795
ACHR,-64.925,-36.96,-50.174,-6.186,-32.092,55.083,83.916,76.923,32.905,-44.512,-26.046,52.067,-5.624,-1.895,-0.008
ACHV,-29,-31.262,-73.558,-34.027,37.872,2.885,90.455,2.365,10.195,-18.598,19.332,-35.267,9.8,7.882,6.845
ACI,67.932,23.184,-5.915,-28.113,-33.291,-18.633,-16.838,8.451,-9.144,-6.694,-18.435,-2.713,16.18,17.441,16.865
ACIC,-76.678,-69.712,-92.846,1.163,311.871,503.175,2587.5,209.483,597.059,48.289,42.389,191.517,93.849,95.437,93.146
ACIU,-50.72,-49.715,-60.719,-45.261,-43.275,-15.581,-6.045,44.156,20.693,18.456,19.118,64.054,-8.529,-7.869,-7.646
ACIW,-27.13,-16.002,-36.562,-23.169,-12.495,-12.468,14.92,27.558,75.827,92.227,157.056,175.667,86.15,43.172,18.277
ACLS,41.892,72.454,-1.998,77.808,110.361,137.508,113.954,-11.193,25.396,-39.542,-31.969,-16.382,18.554,32.569,36.525
ACLX,56.305,18.872,-10.85,96.897,156.554,75.052,110.746,116.533,95.946,56.116,117.934,99.292,83.185,84.038,83.91
ACM,-1.116,18.19,8.57,21.356,22.217,14.521,9.826,-3.588,6.005,9.9242,10.6183,3.261,5.575,5.979,7.358
ACMR,-49.126,-37.183,-76.203,-62.288,-22.946,-26.706,109.538,199.609,86.738,30.007,16.483,191.495,46.071,52.29,56.545
ACN,19.712,-1.965,-26.842,-33.979,-14.973,7.494,-2.5558,-2.5558,6.498,-0.355,18.633,0.219,-7.871,5.823,4.996
ACNB,11.3546,23.165,30.671,10.104,-18.23,-0.843,-1.873,-5.256,12.817,10.818,29.765,44.293,23.819,20.288,15.627
ACNT,55.285,31.485,17.913,-48.011,-34.756,-27.636,-46.177,13.88,-1.54,4.475,16.873,29.345,23.346,19.369,14.844
ACORQ,-82.585,-87.45,-81.486,-63.235,13.746,85.845,-28.995,7.76,15.675,-22.2634,-13.3543,-1.909,-7.371,-8.359,-8.668
ACR,-27.711,-46.678,-33.688,-20.766,-22.193,-5.156,-22.846,13.749,50.523,71.687,109.481,136.225,59.641,41.714,28.772
ACRE,4.425,-9.151,-23.116,-17.26,-48.696,-24.307,-17.193,-36.672,-23.576,-34.908,-28.285,-0.091,-41.959,70.309,-123.054
ACRS,-51.547,-2.439,-1.638,-9.561,-24.46,-36.528,-66.194,-90.603,-35.953,-86.98,-58.759,123.345,321.332,360.906,360.897
ACT,56.305,18.872,8.206,16.587,-0.752,13.597,9.587,14.309,18.627,13.936,20.007,40.324,14.55,14.716,14.336
ACTG,-15.514,-12.973,12.3004,12.3004,12.3004,12.3004,-6.923,10.714,18.677,25.51,18.733,45.353,18.204,21.223,24.089
ACU,-25.146,-28.6,-35.612,-26.222,-22.005,15.244,19.0781,19.0781,19.0781,19.0781,31.82,96.881,136.678,47.743,38.139
ACVA,-71.783,-69.146,-65.276,-5.587,66.585,113.175,113.514,18.343,57.678,-8.344,37.131,72.25,50.464,47.025,47.185
ACXP,56.305,-9.375,-42.455,-8.333,-12.174,-58.092,22.378,-20.235,-20.003,4.224,-47.143,-21.151,-16.101,-26.409,-8.732
ADAP,-68.571,-32.754,-60.381,-27.473,-11.039,-63.362,-72.933,29.545,-6.554,28.235,36.945,2.244,14.522,14.538,14.871
ADBE,-3.221,-37.077,-51.29,-31.112,-17.585,30.917,78.607,73.094,37.318,9.583,3.044,28.661,3.995,24.459,29.672
ADC,-4.915,4.187,-3.885,13.414,-0.015,-16.988,-20.444,-20.159,-0.473,3.155,37.766,13.829,19.608,14.438,11.434
ADCT,-65.458,-64.656,-85.812,-83.615,-72.215,-79.925,-82.488,61.157,16.035,-29.1579,-24.6966,165.398,37.701,16.381,7.983
ADEA,-21.77,-21.894,-41.396,-39.235,-53.342,-28.824,-20.233,15.33,12.223,-10.36,40.853,76.575,13.108,7.824,4.908
ADGM,-6.136,-2.061,0.909,5.408,6.537,7.84,8.709,8.712,758.9,-61.707,-65.838,4655.683,3211.804,-319082.064,-99570.009
ADI,5.377,4.441,2.624,-6.837,16.538,8.304,4.32,7.611,23.143,38.661,28.183,51.779,44.113,37.576,53.518
ADIL,-37.991,-80.806,-91.23,-81.852,-78.783,-86.891,-68.822,-86.239,-79.234,-50,-54.12,-129.331,-41.859,-38.322,-35.065
ADM,43.645,34.104,39.443,6.693,-16.262,9.034,-23.777,-30.215,-21.353,-27.368,-24.126,-31.666,-6.192,-2.022,11.416
ADMA,-14.371,38.562,76.429,107.333,149.65,91.509,46.559,72.99,297.811,200.246,444.751,930.81,1806.945,4059.722,9022.339
ADN,-84.25,-65.223,-80.308,-54.31,-53.917,-74.725,-77.089,-89.811,-85.402,-91.546,-75.4557,-93.837,-85.016,-79.599,-75.008
ADNT,-30.358,-10.844,-19.13,2.502,2.052,31.316,-16.751,-27.689,-21.44,-50.553,-39.787,-25.177,6.136,6.592,5.571
ADP,16.68,15.245,5.769,11.069,1.348,1.506,-7.951,7.9,11.08,4.399,31.854,28.772,15.33,21.266,4.161
ADPT,-73.914,-73.528,-77.797,-40.912,-18.919,-19.515,-44.859,-52.65,-27.849,-44.095,31.235,-37.21,8.779,-3.615,-12.703
ADRT,15.6987,18.705,18.705,4.595,5.924,13.659,12.979,24.164,23.401,10.789,15.6987,55.412,21.052,15.075,25.349
ADSK,-27.839,-21.999,-33.472,-24.867,5.575,-5.04,8.754,13.72,9.897,7.329,17.516,17.101,16.027,16.378,17.117
ADT,-23.996,-26.736,-18.137,0.937,-18.429,-18.052,-21.308,-4.642,-3.125,12.361,25.231,-12.339,2.322,-16.045,1.434
ADTH,-20.103,-67.347,-78.614,-83.158,-81.29,-49.063,-41.315,79.375,76.767,5.3323,97.8346,318.071,281.139,385.976,514.561
ADTN,4.264,1.317,-12.083,-19.564,-53.162,-66.065,-72.457,-66.466,-74.286,-45.0656,27.8758,-92.154,-72.845,341.254,300.658
ADTX,-88.2,-92.166,-97.259,-95.987,-96.028,-96.224,-95.3369,-95.3369,-95.3369,-95.3369,-99.782,-96.015,-96.109,-95.599,-95.183
ADUS,-15.349,4.011,16.702,28.053,5.052,-2.874,-27.335,-15.225,39.088,33.957,57.376,188.627,69.632,74.767,64.179
ADV,-61.17,-57.056,-63.401,-71.077,-68.619,-44.366,-36.923,73.094,48.081,54.43,60.732,181.517,33.485,20.598,11.171
