Ticker,Company,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Price Percent to Target,Total Return,Current Price,Market Cap. (USD),IV,Sharpe Ratio,ETF,S&P 500,DJIA,Nasdaq 100
A,   Agilent Tech,Diagnostics & Research,Healthcare,31.511,25.148,0.74,150,7.7,8.44,139.28,40019322400,26.28,0.3,XLV,S&P 500,,
AA,   Alcoa Corp,Aluminum,Basic Materials,0,13.383,0.88,50,8.93,9.81,45.9,11858724000,49.52,0.2,,,,
AADI,   Aadi Bioscience,Biotechnology,Healthcare,0,-2.449,0,1.88,-24.4,-24.4,2.48,61132000,72.5,-0.3,,,,
AAL,   Amer Airlines,Airlines,Industrials,34.452,7.505,0,15,3.66,3.66,14.47,9508671100,43.18,0.1,,S&P 500,,
AAOI,   Applied Optoele,Communication Equipment,Technology,0,57.972,0,24,-42.5,-42.5,41.74,1881639200,110.2,-0.4,,,,
AAON,   Aaon Inc,Building Products & Equipment,Industrials,58.404,45.891,0.24,120,-9.88,-9.64,133.16,10823244800,50.1,-0.2,,,,
AAP,   Advance Auto Pt,Specialty Retail,Consumer Cyclical,53.975,31.209,2.43,43.5,2.02,4.45,42.64,2547313600,58.22,0.1,,,,
AAPL,   Apple Inc,Consumer Electronics,Technology,39.844,29.354,0.42,250,3.03,3.45,242.65,3.67E+12,19.83,0.2,XLK,S&P 500,DJIA,Nasdaq 100
AAT,   Amer Assets Tr,REIT—Diversified,Real Estate,29.093,39.194,4.72,25,-11.41,-6.69,28.22,1718598000,32.11,-0.2,,,,
AB,   Alliancebernstn,Asset Management,Financial Services,10.302,10.422,8.19,42,17.15,25.34,35.85,4128486000,20.86,1.2,,,,
ABBNY,   Abb Ltd-Adr,Electrical Equipment & Parts,Industrials,27.622,23.586,1.67,52,-9.93,-8.26,57.73,1.07E+11,51.63,-0.2,,,,
ABBV,   Abbvie Inc,Drug Manufacturers—General,Healthcare,63.24,25.196,3.61,207,14.05,17.66,181.5,3.21E+11,21.41,0.8,XLV,S&P 500,,
ABCB,   Ameris Bancorp,Banks—Regional,Financial Services,14.349,13.68,0.86,70,2.06,2.92,68.59,4737511300,61,0,,,,
ABCL,   Abcellara Biolg,Biotechnology,Healthcare,0,-4.537,0,9,209.28,209.28,2.91,859526700,82.54,2.5,,,,
ABEO,   Abeona Theraptc,Biotechnology,Healthcare,0,-4.992,0,17.5,186.42,186.42,6.11,265601700,119.75,1.6,,,,
